Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
fapv-jienv,verb,to tuck into place,mettre en place,เหน็บให้เข้าที่,เหน็บให้เข,ເໜັບໃຫ້ເຂົ້າ,x,nhét vào chỗ,塞到位,sāi dào wèi,coi3 dou3 wai6,,,,,,,,,,
feiv seix,noun,death,mort,ความตาย,ความตาย,ຄວາມຕາຍ,x,cái chết,死亡,sǐwáng,sei2 mong4,,,,,,,,,,
fiem-fei,noun,deep concern,vive préoccupation,ความกังวลอย่างมาก,ความกังวล,ຄວາມກັງວົນ,x,lo ngại sâu sắc,深切关注,shēnqiè guānzhù,sam1 cit3 gwaan1 zyu3,,,,,,,,,,
fing,noun,spark,étincelle,ประกายไฟ,ประกายไฟ,ປະກາຍໄຟ,x,tia lửa,火花,huǒhuā,fo2 faa1,,,,,,,,,,
fitv,verb,to whip,fouetter,เฆี่ยน,เขียน,ຂຽນ,x,quất bằng roi,鞭打,biān dǎ,bin1 daa2,,,,,,,,,,
fiuv,verb,to whistle,siffler,เป่านกหวีด/ผิวปาก,เป่านกหวีด,ເປົ່ານົກຫວີດ,x,huýt sáo,吹口哨,chuī kǒu shào,ceoi1 hau2 saau3,,,,,,,,,,
gaeng-nyaiv,noun,death-feigning insect,insecte qui fait le mort,แมลงแกล้งตาย,แมลงแกลบ,ແມງແກບ,x,côn trùng giả chết,拟死昆虫,nǐsǐ kūnchóng,ji5 sei2 kwan1 cung4,,,,,,,,,,
gaeqv,adjective,very hard,très dur,แข็งมาก,แข็งมาก,ແຂງມາກ,x,rất cứng,極硬,jí yìng,gik6 ngaang6,,,,,,,,,,
ga'naaiv-hngongx,noun,deaf and mute person,sourd-muet,คนหูหนวกและเป็นใบ้,คนหูหนวก,ຄົນຫູໜວກ,x,người câm điếc,聋哑人,lóngyǎrén,lung4 aa2 jan4,,,,,,,,,,
gem,verb,to wrap around,s'enrouler autour,พันรอบ,พันรอบ,ພັນຮອບ,x,quấn quanh,围绕,wéi rào,wai4 jiu5,,,,,,,,,,
gengx,verb,to worship,adorer,บูชา,บูชา,ບູຊາ,x,thờ phụng,崇拜/祭拜,chóng bài/jì bài,sung4 baai3/zai3 baai3,,,,,,,,,,
ging,verb,to trouble,déranger,รบกวน,รบกวน,ລົບກວນ,x,gây rắc rối,麻烦,má fan,maa4 faan4,,,,,,,,,,
ginh,verb,to wind or wrap around with strips of cloth,enrouler avec des bandes,พันด้วยแถบผ้า/ตอก,พันด้วยตอ,ພັນດ້ວຍຕໍ,x,quấn bằng dải,用带子缠绕,yòng dài zi chán rào,jung6 daai2 zi2 cin4 jiu5,,,,,,,,,,
go haic,adjective,very far,très loin,ไกลมาก,ไกลมาก,ໄກມາກ,x,rất xa,極遠,jí yuǎn,gik6 jyun5,,,,,,,,,,
goiv,verb,to turn,tourner,หมุน,หมุน,ໝູນ,x,xoay,转,zhuǎn,zyun2,,,,,,,,,,
gouv,verb,to wrap loosely,envelopper lâchement,ห่อหลวมๆ,ห่อหลวมๆ,ຫໍ່ຫຼົມໆ,x,gói lỏng,松松地包着,sōng sōng de bāo zhe,sung1 sung1 dei6 baau1 zoek6,,,,,,,,,,
guaav,verb,to widow,devenir veuve,เป็นหม้าย,เป็นหม้าย,ເປັນໝ້າຍ,x,trở thành góa phụ,使成守寡,shǐ chéng shǒu guǎ,si2 sing4 sau2 gwaa2,,,,,,,,,,
guaax,verb,to write,écrire,เขียน,เขียน,ຂຽນ,x,viết,写/书写,xiě/shū xiě,se2/syu1 se2,,,,,,,,Literary,,
guinh,verb,to turn,tourner,หมุน,หมุน,ໝູນ,x,xoay,转,zhuǎn,zyun2,,,,,,,guinh cie: to turn car,,,
guinh,verb,to whirl,tourbillonner,หมุนคว้าง,หมุนคว้าง,ໝູນຄວ້າງ,x,xoáy nhanh,回旋,huí xuán,wui4 syun4,,,,,,,,,,
guv-guaix,adjective,deceitful,trompeur,หลอกลวง,หลอกลวง,ຫຼອກລວງ,x,dối trá,欺诈的,qīzhà de,hei1 zaa3 dik1,,,,,,,,,,
hietv,verb,to wriggle,se tortiller,ดิ้นไปมา,ดิ้น,ດິ້ນ,x,ngọ nguậy,蠕动,rú dòng,jyù dung6,,,,,,,,,,
hingh,verb,to win,gagner,ชนะ,ชนะ,ຊະນະ,x,thắng,赢,yíng,jeng4,,,,,,,,,,
hiou,verb,to wind,enrouler,พัน/ม้วน,พัน,ພັນ,x,quấn,缠绕/卷,chán rào/juǎn,cin4 jiu5/gyun2,,,,,,,,,,
hlaatv,verb,to wipe off by scraping against something,essuyer en frottant,เช็ดออกโดยการครูดกับบางสิ่ง,เช็ดออก,ເຊັດອອກ,x,lau sạch bằng cách cạo,刮擦掉,guā cā diào,gwaat3 caat3 diu6,,,,,,,,,,
hlauv-latv,adjective,decayed bamboo,bambou pourri,ไม้ไผ่ผุ,ไม้ไผ่ผุ,ໄມ້ໄຜ່ຜຸ,x,tre mục,腐烂的竹子,fǔlàn de zhúzi,fu6 laan6 dik1 zuk1 zi2,,,,,,,,,,
hliepv,verb,to twinkle,scintiller,ระยิบระยับ,ระยิบระยับ,ລະຍິບລະຍັບ,x,lấp lánh,闪烁,shǎn shuò,sim2 soek3,,,,,,,,,,
hlingx,adjective,very dark,très sombre,มืดสนิท,มืดสนิท,ມືດສະນິດ,x,rất tối,極暗,jí àn,gik6 am3,,,,,,,,,,
hlo haic,adjective,very large,très grand,ใหญ่มาก,ใหญ่มาก,ໃຫຍ່ມາກ,x,rất lớn,極大,jí dà,gik6 daai6,,,,,,,,,,
hlongx,verb,to tunnel,creuser un tunnel,ขุดอุโมงค์,ขุดอุโมงค์,ຂຸດອຸໂມງ,x,đào hầm,挖隧道,wā suì dào,waat3 seoi6 dou6,,,,,,,,,,
hluotv,verb,to withdraw,se retirer,ถอนตัว/ดึงกลับ,ถอนตัว,ຖອນຕົວ,x,rút lui,撤回/退出,chè huí/tuì chū,cit3 wui4/teoi3 ceot1,,,,,,,,,,
hnyauv ben,adjective,very colorful,très coloré,สีสันฉูดฉาด,สีสันฉูดฉาด,ສີສັນສູດຊາດ,x,rất sặc sỡ,極多彩,jí duō cǎi,gik6 do1 coi2,,,,,,,,,,
hornc,verb,to weld,souder,เชื่อมโลหะ,เชื่อมโลหะ,ເຊື່ອມໂລຫະ,x,hàn,焊接,hàn jiē,hon6 zip3,,,,,,,,,,
huaangv,verb,to trick,tromper,หลอกลวง,หลอกลวง,ຫຼອກລວງ,x,lừa gạt,欺骗,qī piàn,hei1 pin3,,,,,,,,Literary,,
huaax,verb,to turn an object into something else,transformer un objet,เปลี่ยนวัตถุเป็นอย่างอื่น,เปลี่ยนวัตถุ,ປ່ຽນວັດຖຸ,x,biến đổi vật thể,把物体变成别的东西,bǎ wù tǐ biàn chéng bié de dōng xi,baa2 mat6 tai2 bin3 sing4 bit6 dik1 dung1 sai1,,,,,,,,,,
huin,verb,to turn to face,se tourner vers,หันหน้าไปหา,หันหน้าไป,ຫັນໜ້າໄປ,x,quay mặt về phía,转身面对,zhuǎn shēn miàn duì,zyun2 san1 min6 deoi3,,,,,,,,,,
in-mbiaatc fei,noun,very fine tobacco,tabac très fin,ยาสูบเส้นเล็กมาก,ยาสูบเส้น,ຢາສູບເສັ້ນ,x,thuốc lá sợi nhỏ,極細煙草,jí xì yān cǎo,gik6 sai3 jin1 cou2,,,,,,,,,,
iu,verb,to urge,inciter,เร่งเร้า,เร่งเร้า,ເຣັ່ງເລົ້າ,x,thúc giục,催促/主张,cuī cù/zhǔ zhāng,ceoi1 cuk1/zyu2 zoeng1,,,,,,,,,,
jae-daev,noun,decoy chicken,poulet de leurre,ไก่ต่อ,ไก่ต่อ,ໄກ່ຕໍ່,x,gà mồi,诱鸡,yòujī,jau5 gai1,,,,,,,,,,
jaev,verb,to untie,détacher,แก้ปม,แก้ปม,ແກ້ປົມ,x,tháo dây/cởi trói,解开,jiě kāi,gaai2 hoi1,,,,,,,,,,
jiex-gaatv leiz,verb,to undergo the rite or procedure of circumcision,subir le rite de,เข้ารับพิธีกรรม,เข้ารับพิธี,ເຂົ້າຮັບພິທີ,x,làm lễ,经历礼仪/程序,jīng lì lǐ yí/chéng xù,ging1 lik6 lai5 ji4/cing4 zeoi6,,,,,,,,,,
juv-daic,noun,dead dog,chien mort,หมาตาย,หมาตาย,ໝາຕາຍ,x,con chó chết,死狗,sǐgǒu,sei2 gau2,,,,,,,,,,
kaav,verb,to weigh on the mind,peser sur le moral,กังวลใจ,กังวลใจ,ກັງວົນໃຈ,x,đè nặng tâm trí,忧心忡忡,yōu xīn chōng chōng,jau1 sam1 cung1 cung1,,,,,,,,,,
kaetc nqoi,verb,to unzip zipper,ouvrir une fermeture éclair,รูดซิปออก,รูดซิปออก,ຮູດຊິບອອກ,x,mở khóa kéo,拉开拉链,lā kāi lā liàn,laai1 hoi1 laai1 lin2,,,,,,,,,,
kangh,verb,to withhold,refuser de donner,ระงับไว้/ไม่ให้,ระงับ,ລະງັບ,x,giữ lại/không cho,扣留/拒给,kòu liú/jù gěi,kau3 lau4/keoi5 kap1,,,,,,,,,,
koi,verb,to turn on,allumer,เปิด,เปิด,ເປີດ,x,bật,开启,kāi qǐ,hoi1 kai2,,,,,,,,,,
kuakv,verb,to wobble (of something that should be tight but has become loose),vaciller,โยกเยก (สิ่งที่ควรจะมั่นคง),โยกเยก,ໂຍກເຍກ,x,lung lay,摇晃/松动,yáo huàng/sōng dòng,jiu4 fong2/sung1 dung6,,,,,,,,,,
kuangx hnyouv,verb,to weigh on one's mind,peser sur l'esprit,หนักใจ,หนักใจ,ໜັກໃຈ,x,nặng lòng,耿耿于怀,gěng gěng yú huái,gang2 gang2 jyu4 waai4,,,,,,,,,,
kuonv,verb,to wind around,s'enrouler autour,พันรอบๆ,พันรอบ,ພັນຮອບ,x,quấn quanh,绕在...上,rào zài... shàng,jiu5 zoi6... soeng6,,,,,,,,,,
kuv,adjective,decent,convenable,เรียบร้อย,เรียบร้อย,ຮຽບຮ້ອຍ,x,tử tế,得体,détǐ,dak1 tai2,,,,,,,,,,
laanh,verb,to treat without regard for value,traiter sans valeur,ปฏิบัติโดยไม่เห็นคุณค่า,,ปฏิบัติโดยไม่เห็นคุณค่า,x,đối xử không coi trọng giá trị,轻视价值地对待,qīng shì jià zhí de duì dài,hing1 si6 gaa3 zik6 dei6 deoi6 doi6,,,,,,,,,,
laauh luic,verb,to work very hard,travailler très dur,ทำงานหนักมาก,,ทำงานหนัก,x,làm việc cực nhọc,辛勤工作,xīn qín gōng zuò,san1 kan4 gung1 zok3,,,,,,,,,,
latv,adjective,decayed,pourri,เน่า,,เน่า,x,bị thối rữa,腐烂的,fǔlàn de,fu6 laan6 dik1,,,,,,,,,,
lingc,noun,decree,décret,กฤษฎีกา,,กฤษฎีกา,x,sắc lệnh,法令,fǎlìng,faat3 ling6,,,,,,,,,,
liouh,verb,to urge,inciter,เร่งเร้า,,เร่งเร้า,x,thúc giục,催促/主张,cuī cù/zhǔ zhāng,ceoi1 cuk1/zyu2 zoeng1,,,,,,,,,,
liuc,verb,to whack,frapper,หวด/ตี,,หวด/ตี,x,đánh mạnh,重击,zhòng jī,zung6 gik1,,,,,,,,Slang,,
lunc,verb,to unravel,s'effilocher,คลี่คลาย/หลุดลุ่ย,,คลี่คลาย/หลุดลุ่ย,x,tháo gỡ/gỡ rối,拆开/解开,chāi kāi/jiě kāi,caak3 hoi1/gaai2 hoi1,,,,,,,,,,
lunc,verb,to uncoil,dérouler,คลายออก,,คลายออก,x,tháo xoắn,解开/展开,jiě kāi/zhǎn kāi,gaai2 hoi1/zin2 hoi1,,,,,,,,,,
luoqc,verb,to turn,tourner,หมุน,,หมุน,x,xoay,转,zhuǎn,zyun2,,,,,,,,,,
maaic-gong,verb,to work for hire,être salarié,ทำงานรับจ้าง,,รับจ้าง,x,làm thuê,受雇工作,shòu gù gōng zuò,sau6 gu3 gung1 zok3,,,,,,,,,,
maqv nzuqc,verb,to wield knife with force,manier un couteau avec force,ใช้มีดอย่างแรง,,ใช้มีดอย่างแรง,x,múa dao mạnh,挥刀猛砍,huī dāo měng kǎn,fai1 dou1 maang5 ham2,,,,,,,,,,
mbanx,verb,to wriggle,se tortiller,ดิ้นไปมา,,ดิ้น,x,ngọ nguậy,蠕动,rú dòng,jyù dung6,,,,,,,,,,
mbiaan,verb,to turn up and show white,faire apparaître le blanc,หงายขึ้นให้เห็นสีขาว,,หงายขึ้นให้เห็นสีขาว,x,lật lên cho thấy màu trắng,翻起来露出白色,fān qǐ lái lù chū bái sè,faan1 hei2 loi4 lou6 baak6 sik1,,,,,,,,,,
mbienv,verb,to turn inside out or upside down,retourner,กลับด้าน/กลับหัว,,กลับด้าน/กลับหัว,x,lật từ trong ra ngoài/lộn ngược,里外反转或倒转,lǐ wài fǎn zhuǎn huò dào zhuǎn,leoi5 ngoi6 faan2 zyun2 waak6 dou2 zyun2,,,,,,,,,,
mborqc,noun,bulge,protubérance,ส่วนที่นูนออกมา,,ส่วนທີ່ນູນອອກ,x,chỗ lồi lên,凸起,tū qǐ,dat6 hei2,,,,,,,,,,
mborqv nzaangc,verb,to type,taper (clavier),พิมพ์,,พิมพ์,x,đánh máy,打字,dǎ zì,daa2 zi6,,,,,,,,,,
mbungv-zou,noun,very end of bone that fits into socket to form joint,extrémité de l'os,ปลายหัวกระดูก,,ปลายหัวกระดูก,x,đầu xương,骨端,gǔ duān,gwat1 dyun1,,,,,,,,,,
mbuoh toi,verb,"to treat swelling, bump, or ridge of cartilage behind the ear",traiter l'enflure,รักษาอาการบวม,,รักษาอาการบวม,x,điều trị vết sưng,治疗肿胀,zhì liáo zhǒng zhàng,zi6 liu4 zung2 zoeng3,,,,,,,,,,
mengh,verb,to understand,comprendre,เข้าใจ,,เข้าใจ,x,hiểu,明白/理解,míng bai/lǐ jiě,ming4 baak6/lei5 gaai2,,,,,,,,,,
mengh-baeqc,verb,to understand,comprendre,เข้าใจ,,เข้าใจ,x,hiểu,明白/理解,míng bai/lǐ jiě,ming4 baak6/lei5 gaai2,,,,,,,,,,
mitc mi'aqv,adjective,faded,flétri,เฉา,,เฉา,x,héo,枯萎,kū wěi,fu1 wai2,,,,,,,,,,
m'njormh ndung,adjective,deaf,sourd,หูหนวก,,หูหนวก,x,điếc,聋,lóng,lung4,,,,,,,,,,
m'normh bangx,adjective,deaf due to blockage in the ears,sourd par obstruction,หูตึงจากสิ่งอุดตัน,,หูตึง,x,điếc do tắc nghẽn,因阻塞而聋,yīn zǔsè ér lóng,jan1 zo2 sak1 ji4 lung4,,,,,,,,Slang,,
m'normh ndung,adjective,deaf,sourd,หูหนวก,,หูหนวก,x,điếc,聋,lóng,lung4,,,,,,,,,,
mongx,noun,deep hole,trou profond,หลุมลึก,,หลุมลึก,x,hố sâu,深洞,shēndòng,sam1 dung6,,,,,,,,,,
morh gueiv,noun,very fierce evil spirit,esprit très féroce,ผีที่ดุร้ายมาก,,ผีที่ดุร้ายมาก,x,quỷ dữ dữ tợn,凶惡邪靈,xiōng è xié líng,hung1 ok3 ce4 ling4,,,,,,,,,Chinese,
morh zienh,noun,devil,diable,พญามาร,,พญามาร,x,quỷ sa tăng,撒旦,sā dàn,saat3 daan3,,,,,,,,,,
morngh,adjective,deceased,décédé,ผู้เสียชีวิต,,ผู้เสียชีวิต,x,người đã khuất,已故,yǐgù,ji5 gu3,,,,,,,,,,
morngz,adjective,very forgetful,très distrait,ขี้ลืมมาก,,ขี้ลืมมาก,x,rất hay quên,極健忘,jí jiàn wàng,gik6 gin6 mong4,,,,,,,,,,
muangv,verb,to wither,se flétrir,เหี่ยวเฉา,,เหี่ยวเฉา,x,héo rũ,枯萎,kū wěi,fu1 wai2,,,,,,,,,,
muangx,verb,to listen to,écouter,ฟัง,,ฟัง,x,lắng nghe,聽,tīng,ting1,,,,,,,,,,
mueiv,verb,to twist off,dévisser,บิดออก,,บิดออก,x,vặn ra,拧下来,níng xià lái,ning2 haa6 loi4,,,,,,,,,,
mueiv ndutv,verb,to twist off,dévisser,บิดออก,,บิดออก,x,vặn ra,拧下来,níng xià lái,ning2 haa6 loi4,,,,,,,,,,
muoqc kou,noun,dead tree,arbre mort,ต้นไม้ตาย,,ต้นไม้ตาย,x,cây khô,枯树,kūshù,fu1 syu6,,,,,,,,,,
mv bieqc,verb,to unable to penetrate or enter,impossible de pénétrer,ไม่สามารถแทรกซึมเข้าไปได้,,ไม่สามารถแทรกซึมเข้าไปได้,x,không thể xâm nhập,无法穿透/进入,wú fǎ chuān tòu/jìn rù,mou4 faat3 cyun1 tau3/zeon3 jap6,,,,,,,,,,
naaic deix,pronoun,those,ceux-là,พวกนั้น (those),,พวกนั้น (those),x,những cái đó,那些,nàxiē,naa5 se1,,,,,,,,,,
ndatv lorqc,verb,to weave loose bag or casing,tisser un sac lâche,สานถุงตาข่าย,,สานถุงตาข่าย,x,đan túi lưới,编织网袋,biān zhī wǎng dài,pin1 zik1 mong5 doi6,,,,,,,,,,
ndatv ndie,noun,to weave cloth,tisser du tissu,ทอผ้า,,ทอผ้า,x,dệt vải,织布,zhī bù,zik1 bou3,,,,,,,,,,
ndau-saeng,noun,not thoroughly burned land,terre mal brûlée,ที่ดินเผาไม่ทั่ว,,ดินເຜົາບໍ່ທົ່ວ,x,đất cháy không hết,未燃尽的地,wèi rán jìn de dì,mei6 jin4 zeon6 dik1 dei6,,,,,,,,,,
ndiangx-nqunx,noun,deep hole in tree,cavité dans l'arbre,โพรงไม้ลึก,,โพรงไม้ลึก,x,hốc cây sâu,树深洞,shù shēndòng,syu6 sam1 dung6,,,,,,,,,,
ndiemh guv maeng,adjective,very green,très vert,เขียวขจี,,เขียวขจี,x,rất xanh,極綠,jí lǜ,gik6 luk6,,,,,,,,,,
ndiepv,verb,to trickle,dégouliner,ไหลริน,,ไหลริน,x,chảy nhỏ giọt,滴流,dī liú,dik1 lau4,,,,,,,,,,
ndih ndungx,particle,dee dung,(Proper Name),ดีดัง,,ดีดัง,x,(Proper Name),ดีดัง,dīdāng,dik1 dong1,"Intensifier for verbs or adjectives beginning with nd-, such as ndaai ""lying stretched out"" and ndui ""moving in large numbers"".","Intensificateur pour les verbes ou adjectifs commençant par nd-, tels que nd.",คำขยายความสำหรับคำกริยาหรือคำคุณศัพท์ที่ขึ้นต้นด้วย nd- เช่น nd,ຄຳຂະຫຍາຍຄວາມສຳລັບຄຳກຳມະ ຫຼື ຄຳຄຸນນາມທີ່ຂຶ້ນຕົ້ນດ້ວຍ nd- ເຊັ່ນ nd,"Từ bổ trợ cường hóa cho động từ hoặc tính từ bắt đầu bằng nd-, ví dụ nd",用于以 nd- 开头的动词或形容词的语气加强词，如 nd,,,,
ndiuc,verb,to twitch,avoir un tic,กระตุก,,กระตุก,x,co giật,抽搐,chōu chù,cau1 cuk1,,,,,,,,,,
ndo,adjective,deep,profond,ลึก,,ลึก,x,sâu,深,shēn,sam1,,,,,,,,,,
ndung,adjective,deaf,sourd,หูหนวก,,หูหนวก,x,điếc,聋,lóng,lung4,,,,,,,,,,
ndung-ndung wuov,adjective,very deaf,très sourd,หูตึงมาก,,หูตึงมาก,x,rất nghễnh ngãng,極聾,jí lóng,gik6 lung4,,,,,,,,,,
nduov,verb,to trick,tromper,หลอกลวง,,หลอกลวง,x,lừa gạt,欺骗,qī piàn,hei1 pin3,,,,,,,,,,
nduov duqv zuqc,adjective,deceived,trompé,ถูกหลอก,,ถูกหลอก,x,bị lừa,受骗,shòupiàn,sau6 pin3,,,,,,,,,,
ngaaiz,adjective,debilitating,débilitant,ซึ่งทำให้ร่างกายอ่อนแอ,,ซึ่งทำให้ร่างกายอ่อนแอ,x,làm suy nhược,使人衰弱的,shǐrén shuāiruò de,si2 jan4 seoi1 joek6 dik1,,,,,,,,,,
nganx,verb,to trim,tailler,เล็ม,,เล็ม,x,tỉa,修剪,xiū jiǎn,sau1 zin2,,,,,,,,,,
ngau mingh zaaix,verb,to turn left,tourner à gauche,เลี้ยวซ้าย,,เลี้ยวซ้าย,x,rẽ trái,左转,zuǒ zhuǎn,zo2 zyun2,,,,,,,,,,
ngoih gu'kuotv,verb,to wriggle or squirm on one's bottom,se tortiller sur son derrière,ดิ้นหรือขยับก้นไปมา,,ดิ้น,x,ngọ nguậy mông,坐立不安地扭动,zuò lì bù ān de niǔ dòng,co5 laap6 bat1 on1 dei6 nau2 dung6,,,,,,,,,,
ngopv,verb,to whine,pleurnicher,คราง/ตัดพ้อ,,คราง,x,rên rỉ,哀鸣/抱怨,āi míng/bào yuàn,oi1 ming4/pou5 jyun3,,,,,,,,,,
ngorpc,adjective,deep and gaping,profond et béant,ลึกและเป็นโพรง,,ลึกและเป็นโพรง,x,sâu và hốc,深而张开,shēn ér zhāngkāi,sam1 ji4 zoeng1 hoi1,,,,,,,,,,
